ABW,abw
ACO,d4r
AEI,d6r
AEL,afi bog
AEN,
AET,afi bog
AFG,can lio
AFI,afi bog
AFN,mei
AFO,afi bog
AFR,sti
AFS,afs bph afy
AFT,d6r gme cha aft
AFV,d6r lev cha
AFX,d6r gme aft
AFY,d4r afy
AHT,bog
ANA,
APC,
APD,
AST,d4r ast
ASV,d4r lau
ATN,atn
ATO,lau
ATS,ats
ATT,abw gis
ATV,afi bog
AVL,d6r gme
AWO,
AWW,aww clo
BCT,lau
BEA,mor bea mtw
BEC,mor d4r mtw
BIK,bik
BOF,mel
BOG,bre bog cas
BOZ,lov
BPH,afs bph
BRE,bre
BSV,
CAN,can
CAS,cas bik
CDO,mor fer
CFI,mtt cas ton
CGF,mei bog
CGS,
CHA,d6r cha
CHI,
CLO,d4r clo lta
CON,bea bre lau mel
CSV,sti cas mtw
CTH,d4r non cas
CZP,
DAC,mor
DDR,mtn
DFO,sti d4r bog lau
DFT,
DOH,mtn doh
DON,afi mel
EAB,d6r gme
EDI,nat
EEI,non cas
EMT,d6r sod
EON,mor gme
EPI,mor
ERI,d6r can
ESV,
ETL,mor bik
ETR,
EUO,cas non
EWS,mor fer
EWT,
EZT,lau bph
FAR,can sod lio
FAU,d6r sod
FER,mor fer pcr
FRA,can sod los
GIS,gis
GIU,can sod
GME,d6r gme
GON,cas mtw
GOO,
HEU,bre
IFO,lau
IFR,bea lau
IFT,d4r d3r
IFU,d4r ddr
IFW,rte
IFY,d4r sti sod
IHW,cas non ton
IMF,mor mtt ats stf fer imf
IRN,d4r
IRR,d4r mel d3r
IRY,d4r d3r
ISV,mor d4r mtw
ITE,rth ite
ITG,d4r mel stf mtw mor bre
ITH,d4r stf lau mel
ITN,mor bea stf mtw
ITR,d4r stf lau
ITT,d4r mel
ITV,d4r lau
ITW,d4r
IWR,d4r bre lau mel
IWS,mor d4r lau mtw mel
IWV,d4r cas non ton
IWW,mor d4r bre stf mel
JBW,jbw abw
JNT,
JOZ,lov
JRY,bog
JSN,sti
JSR,lov d6r
JST,lov
JSW,
KFI,d6r pau lta
LAU,bog lau
LEV,d6r lev
LIO,can los lio
LIT,abw
LOS,can los
LOV,lov vsv
LTA,d4r sod lta
LTF,gme
LTJ,
LTL,d6r can ltl
LTN,d6r can sod lta
MAR,can sod lio
MAZ,gme
MEI,mei
MEL,mor mfi mel
MEP,mtn
MER,d8r pau
MFI,mor cas mfi mel
MFS,mor mtt fer
MON,
MOR,mor
MOZ,d6r can pau ltl
MRE,afi mel imf
MRT,phi
MSE,mor bea mtw
MSO,lau d6r mso
MTF,mfi
MTN,mtn
MTT,jbw mtt bik ton
MTW,jbw cas bik mtw
MVY,
MWF,d8r gis mwf pau lta phi
MWW,d6r mel
NAB,lov vsv
NAT,nat
NES,cas non ton
NON,non
NPO,
NPT,lov vsv obw
NSI,cas bik
OBW,lov vsv obw
OFF,d6r can gme
OKO,mor cas fer non ton
OSI,ats lau
OSO,lov
OWE,sti
PAR,
PAU,d8r gis pau lta phi
PCR,mor mtt ton mso pcr
PCS,non mor pcr
PHI,phi
PON,
POR,d4r phi
POS,
PSI,afi
PUN,lov vsv
PWO,bre
PWW,bre
RHO,d8r lta
RON,vsv lau
RRO,bre
RSN,lov vsv
RTE,rte
RTH,rth ite
RUT,rte rut
RWR,mor
RWY,
SAF,afi bog
SAO,sti lau aww
SAS,d6r
SAT,d6r can
SAV,d6r
SBE,sti d8r atn
SBN,vsv
SBS,sti d6r can
SBT,sti d6r can
SEW,bea afs lau
SFE,jbw mtt bik ton
SFF,stf cas
SFG,mel
SFH,afi cas mtw
SFN,jbw cas mtw
SFO,sti
SFS,mor cas mel
SFV,mor mfi mel
SFW,d6r gme
SGT,
SIV,gis phi
SOD,sod
SOF,d4r
SOR,d4r mtw
SOS,
SSF,d6r mtw mel mso
SSO,mor jbw cas bik mtw
SSY,jbw mtt ton
STF,stf cas
STI,sti bre
STO,ats afs mel imf doh
STT,bea cas
STW,d4r
SVR,mor mfi
SVV,d4r rte rut ast
SVY,d6r mel
SWY,gme d6r can
SZR,mtt d6r mso
TER,bre bog cas
THO,nat
TOL,can los lio
TON,jbw mtt bik ton
TSC,d6r d8r sod lta
TUN,mor mtt stf lau cas
UEI,
UFI,d4r rth lta
UOE,d4r mtw
UOS,d4r mtw
UOV,d4r mor bre lau stf mel mtw
UOZ,d4r lau
USI,mei bog
UTL,mor d4r cas fer non ton
UWY,d4r stf lau
VET,cas
VFI,afi bog
VNI,vsv
VSV,lov vsv
WEI,lov vsv
WEN,d6r can
YFI,mor mtt mel mtw d8r
YUG,
ZON,sti
